Price,Lot Size
28000,0.82
70000,0.32
53000,Not available
46500,a
28000,0.88
39900,0.56
56000,0.31
32000,0.74
53000,0.34
58750,0.38
24000,0.76
725000,0.51
60000,0.5
70000,0.31
43000,0.32
30000,0.33
24000,0.75
50000,0.37
50000,0.31
29000,0.87
24000,0.6
500000,0.39
110000,0.45
110000,a
50000,0.78
32500,0.12
32500,0.12
32500,0.12
35000,0.12
37500,0.12
37500,0.12
75000,0.48
53000,0.35
53000,0.39
162500,0.71
52000,0.38
50000,0.42
45000,0.49
39900,0.57
30000,0.34
50000,a
39000,0.56
28000,a
30000,a
46500,0.46
110000,a
500000,a
53000,a
162500,a
53000,a
75000,a
58750,a